Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,28,0.1,0.5,-6.349310837362469,-11.746529688681864,0.39943224587398235,-10.559485688987978,-0.3097068050119375
100% Corpus,28,0.1,1,-6.450678946223539,-12.27465857774977,0.41518326116742477,-10.918349006551155,-0.32481972097418066
100% Corpus,28,0.1,symmetric,-6.505585022268694,-12.005011717837064,0.37853152551414027,-10.559885232586277,-0.30917041515807936
100% Corpus,28,0.5,0.01,-7.098589243882978,-11.070180843586256,0.3743211403511491,-9.89191598317305,-0.273325674319651
100% Corpus,28,0.5,0.1,-6.56558238052064,-10.986771694217783,0.3864710482654881,-9.83331954355148,-0.2724700695830359
100% Corpus,28,0.5,0.5,-6.681964862395883,-9.59070549716875,0.379571327349696,-9.081378457420492,-0.23970062051261445
100% Corpus,28,0.5,1,-6.755116588170294,-8.64706927193126,0.3911030596718237,-8.529087955586734,-0.22288959325262328
100% Corpus,28,0.5,symmetric,-6.652335765883982,-11.060748177472002,0.3830594383702732,-9.886202038275357,-0.2736113022916605
100% Corpus,28,1,0.01,-7.585162313273358,-11.75746816266238,0.411024064388806,-10.50829024003988,-0.2999176052967573
100% Corpus,28,1,0.1,-6.779582726623979,-10.432209442175788,0.38078807056420716,-9.503615564924832,-0.2534109966020013
100% Corpus,28,1,0.5,-6.9933553557359565,-8.223427263057635,0.3605078863260428,-8.411815399908026,-0.23465214253338937
100% Corpus,28,1,1,-7.088253408596972,-9.516488832270294,0.36087998345564626,-9.66224523973034,-0.31582566640028087
100% Corpus,28,1,symmetric,-6.907758820044607,-11.38523234383474,0.40742968352864706,-10.216245718643773,-0.28626012717566074
100% Corpus,28,symmetric,0.01,-6.848696293638383,-12.338975128632574,0.39039493054138613,-10.834673275216977,-0.32072896127804784
100% Corpus,28,symmetric,0.1,-6.202679002702697,-12.342676038038652,0.3970740945801789,-10.907000173096264,-0.326003054734306
100% Corpus,28,symmetric,0.5,-6.222315504642731,-11.806117086847442,0.40749786998767284,-10.685415540723117,-0.3155502149152146
100% Corpus,28,symmetric,1,-6.327743971971966,-12.08144329156946,0.4182961372458906,-10.795996660821197,-0.31987217522887795
100% Corpus,28,symmetric,symmetric,-6.397014622724186,-12.396922357757166,0.3935863623295018,-10.90784071110863,-0.32375210807382127
100% Corpus,28,asymmetric,0.01,-6.856730288381485,-11.883961433997456,0.37267939426098795,-10.638275762899145,-0.3121507046871753
